NN 20 2 1
0 8 1 3.086607 0.279907
1 17 1 -5.346013 2.587973
2 19 1 -6.663043 10.645943
3 17 1 -6.208716 0.527542
4 15 1 2.813313 4.177866
5 18 1 -8.016167 9.819117
6 2 1 -5.724856 11.321606
7 8 1 5.981623 1.947844
8 0 1 3.003436 1.296832
9 19 1 -4.618946 9.502610
10 14 1 -7.709829 9.204672
11 10 1 -7.187561 6.352073
12 14 1 -7.543969 10.002434
13 16 1 -3.066173 2.352908
14 12 1 -7.459134 9.703543
15 8 1 1.078243 2.281975
16 13 1 -2.114410 3.485478
17 1 1 -4.897958 1.674444
18 12 1 -7.817420 10.242840
19 2 1 -6.255057 9.859698
