NN 200 2 1
0 45 1 3.086607 0.279907
1 28 1 -5.346013 2.587973
2 71 1 -6.663043 10.645943
3 23 1 -6.208716 0.527542
4 58 1 2.813313 4.177866
5 92 1 -8.016167 9.819117
6 22 1 -5.724856 11.321606
7 30 1 5.981623 1.947844
8 106 1 3.003436 1.296832
9 21 1 -4.618946 9.502610
10 46 1 -7.709829 9.204672
11 141 1 -7.187561 6.352073
12 139 1 -7.543969 10.002434
13 70 1 -3.066173 2.352908
14 12 1 -7.459134 9.703543
15 101 1 1.078243 2.281975
16 171 1 -2.114410 3.485478
17 117 1 -4.897958 1.674444
18 173 1 -7.817420 10.242840
19 50 1 -6.255057 9.859698
20 127 1 -6.765717 9.658650
21 109 1 -5.425702 9.838111
22 6 1 -5.751842 11.401320
23 145 1 -5.611158 0.279469
24 170 1 2.782571 0.537625
25 65 1 2.739166 1.868676
26 33 1 -8.532137 9.008229
27 173 1 -8.023816 10.622561
28 1 1 -5.404814 2.859859
29 186 1 -7.162421 7.957223
30 123 1 5.320145 1.210202
31 165 1 2.462765 2.527992
32 135 1 -5.910554 9.099224
33 10 1 -7.924565 9.248141
34 170 1 2.514495 0.717163
35 143 1 1.747300 1.765695
36 8 1 2.704857 1.150522
37 70 1 -3.356504 2.636063
38 39 1 2.737826 2.378769
39 38 1 2.737854 2.240445
40 151 1 -9.747824 9.051640
41 192 1 -2.311801 1.962863
42 171 1 -3.019478 4.749419
43 60 1 -4.375405 -0.161698
44 193 1 -3.904491 3.406337
45 0 1 3.116661 0.130198
46 10 1 -7.700017 9.213700
47 62 1 -7.673777 11.522623
48 71 1 -6.300035 10.687261
49 17 1 -4.832889 1.999925
50 19 1 -5.931894 9.720483
51 190 1 -3.714712 1.764113
52 128 1 -4.126609 1.769218
53 143 1 1.861067 1.425097
54 62 1 -7.907875 11.087020
55 190 1 -3.746724 1.974219
56 166 1 3.186869 1.056629
57 198 1 -4.210774 3.475376
58 77 1 2.796626 4.329517
59 106 1 2.913909 1.528960
60 113 1 -4.381720 0.402543
61 83 1 -2.815597 1.467084
62 54 1 -7.618925 11.135790
63 41 1 -1.428659 2.310956
64 180 1 -6.293117 2.115485
65 25 1 2.711554 1.936279
66 188 1 0.398273 2.545161
67 146 1 2.090112 3.631754
68 120 1 -6.972322 11.118041
69 5 1 -8.142341 10.027904
70 150 1 -3.339413 2.306693
71 48 1 -6.421430 10.575743
72 191 1 3.659057 1.805059
